temporada,clube,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,pontos,saldo_gols,posicao,posicao_prox_temporada,rebaixado_prox_temporada
2006,Athletico-PR,38,13,9,16,61,62,48,-1,13,12.0,0.0
2006,Botafogo-RJ,38,13,12,13,52,50,51,2,12,9.0,0.0
2006,Corinthians,38,15,8,15,41,46,53,-5,9,17.0,1.0
2006,Cruzeiro,38,14,11,13,52,45,53,7,10,5.0,0.0
2006,Figueirense,38,15,12,11,52,44,57,8,7,13.0,0.0
2006,Flamengo,38,15,7,16,44,48,52,-4,11,3.0,0.0
2006,Fluminense,38,11,12,15,48,58,45,-10,15,4.0,0.0
2006,Fortaleza,38,8,14,16,39,62,38,-23,18,,
2006,Goias,38,15,10,13,63,49,55,14,8,16.0,0.0
2006,Gremio,38,20,7,11,64,45,67,19,3,6.0,0.0
2006,Internacional,38,20,9,9,52,36,69,16,2,11.0,0.0
2006,Juventude,38,13,8,17,44,54,47,-10,14,18.0,1.0
2006,Palmeiras,38,12,8,18,58,70,44,-12,16,7.0,0.0
2006,Parana,38,18,6,14,56,49,60,7,5,19.0,1.0
2006,Ponte Preta,38,10,9,19,45,65,39,-20,17,,
2006,Santa Cruz,38,7,7,24,41,76,28,-35,20,,
2006,Santos,38,18,10,10,58,36,64,22,4,2.0,0.0
2006,Sao Caetano,38,9,9,20,37,53,36,-16,19,,
2006,Sao Paulo,38,22,12,4,66,32,78,34,1,1.0,0.0
2006,Vasco,38,15,14,9,57,50,59,7,6,10.0,0.0
2007,America-RN,38,4,5,29,24,80,17,-56,20,,
2007,Athletico-PR,38,14,12,12,51,50,54,1,12,13.0,0.0
2007,Atletico-MG,38,15,10,13,63,51,55,12,8,12.0,0.0
2007,Botafogo-RJ,38,14,13,11,62,58,55,4,9,7.0,0.0
2007,Corinthians,38,10,14,14,40,50,44,-10,17,,
2007,Cruzeiro,38,18,6,14,73,58,60,15,5,3.0,0.0
2007,Figueirense,38,14,11,13,57,56,53,1,13,17.0,1.0
2007,Flamengo,38,17,10,11,55,49,61,6,3,5.0,0.0
2007,Fluminense,38,16,13,9,57,39,61,18,4,14.0,0.0
2007,Goias,38,13,6,19,49,62,45,-13,16,8.0,0.0
2007,Gremio,38,17,7,14,44,43,58,1,6,2.0,0.0
2007,Internacional,38,15,9,14,49,44,54,5,11,6.0,0.0
2007,Juventude,38,11,8,19,43,65,41,-22,18,,
2007,Nautico,38,14,7,17,66,63,49,3,15,16.0,0.0
2007,Palmeiras,38,16,10,12,48,47,58,1,7,4.0,0.0
2007,Parana,38,11,8,19,42,64,41,-22,19,,
2007,Santos,38,19,5,14,57,47,62,10,2,15.0,0.0
2007,Sao Paulo,38,23,8,7,55,19,77,36,1,1.0,0.0
2007,Sport,38,14,9,15,54,55,51,-1,14,11.0,0.0
2007,Vasco,38,15,9,14,58,47,54,11,10,18.0,1.0
2008,Athletico-PR,38,12,9,17,45,54,45,-9,13,14.0,0.0
2008,Atletico-MG,38,12,12,14,50,61,48,-11,12,7.0,0.0
2008,Botafogo-RJ,38,15,8,15,51,44,53,7,7,15.0,0.0
2008,Coritiba,38,14,11,13,55,48,53,7,9,17.0,1.0
2008,Cruzeiro,38,21,4,13,59,44,67,15,3,4.0,0.0
2008,Figueirense,38,11,11,16,49,73,44,-24,17,,
2008,Flamengo,38,18,10,10,67,48,64,19,5,1.0,0.0
2008,Fluminense,38,11,12,15,49,48,45,1,14,16.0,0.0
2008,Goias,38,14,11,13,57,47,53,10,8,9.0,0.0
2008,Gremio,38,21,9,8,59,35,72,24,2,8.0,0.0
2008,Internacional,38,15,9,14,48,47,54,1,6,2.0,0.0
2008,Ipatinga,38,9,8,21,37,67,35,-30,20,,
2008,Nautico,38,11,11,16,44,54,44,-10,16,19.0,1.0
2008,Palmeiras,38,19,8,11,55,45,65,10,4,5.0,0.0
2008,Portuguesa,38,9,11,18,48,70,38,-22,19,,
2008,Santos,38,11,12,15,44,53,45,-9,15,12.0,0.0
2008,Sao Paulo,38,21,12,5,66,36,75,30,1,3.0,0.0
2008,Sport,38,14,10,14,48,45,52,3,11,20.0,1.0
2008,Vasco,38,11,7,20,56,72,40,-16,18,,
2008,Vitoria,38,15,7,16,48,44,52,4,10,13.0,0.0
2009,Athletico-PR,38,13,9,16,42,49,48,-7,14,5.0,0.0
2009,Atletico-MG,38,16,8,14,55,56,56,-1,7,13.0,0.0
2009,Avai,38,15,12,11,61,52,57,9,6,15.0,0.0
2009,Barueri,38,12,13,13,59,52,49,7,11,,
2009,Botafogo-RJ,38,11,14,13,52,58,47,-6,15,6.0,0.0
2009,Corinthians,38,14,10,14,50,54,52,-4,10,3.0,0.0
2009,Coritiba,38,12,9,17,48,60,45,-12,17,,
2009,Cruzeiro,38,18,8,12,58,53,62,5,4,2.0,0.0
2009,Flamengo,38,19,10,9,58,44,67,14,1,14.0,0.0
2009,Fluminense,38,11,13,14,49,56,46,-7,16,1.0,0.0
2009,Goias,38,15,10,13,64,65,55,-1,9,19.0,1.0
2009,Gremio,38,15,10,13,67,46,55,21,8,4.0,0.0
2009,Internacional,38,19,8,11,65,44,65,21,2,7.0,0.0
2009,Nautico,38,10,8,20,48,71,38,-23,19,,
2009,Palmeiras,38,17,11,10,58,45,62,13,5,10.0,0.0
2009,Santo Andre,38,11,8,19,46,61,41,-15,18,,
2009,Santos,38,12,13,13,58,58,49,0,12,8.0,0.0
2009,Sao Paulo,38,18,11,9,57,42,65,15,3,9.0,0.0
2009,Sport,38,7,10,21,48,71,31,-23,20,,
2009,Vitoria,38,13,9,16,51,57,48,-6,13,17.0,1.0
2010,Athletico-PR,38,17,9,12,43,45,60,-2,5,17.0,1.0
2010,Atletico-GO,38,11,9,18,51,57,42,-6,16,13.0,0.0
2010,Atletico-MG,38,13,6,19,52,64,45,-12,13,15.0,0.0
2010,Avai,38,11,10,17,49,58,43,-9,15,20.0,1.0
2010,Botafogo-RJ,38,14,17,7,54,42,59,12,6,9.0,0.0
2010,Ceara,38,10,17,11,35,44,47,-9,12,18.0,1.0
2010,Corinthians,38,19,11,8,65,41,68,24,3,1.0,0.0
2010,Cruzeiro,38,20,9,9,53,38,69,15,2,16.0,0.0
2010,Flamengo,38,9,17,12,41,44,44,-3,14,4.0,0.0
2010,Fluminense,38,20,11,7,62,36,71,26,1,3.0,0.0
2010,Goias,38,8,9,21,41,68,33,-27,19,,
2010,Gremio,38,17,12,9,68,43,63,25,4,12.0,0.0
2010,Gremio Prudente,38,7,10,21,39,64,31,-25,20,,
2010,Guarani,38,8,13,17,33,53,37,-20,18,,
2010,Internacional,38,16,10,12,48,41,58,7,7,5.0,0.0
2010,Palmeiras,38,12,14,12,42,43,50,-1,10,11.0,0.0
2010,Santos,38,15,11,12,63,50,56,13,8,10.0,0.0
2010,Sao Paulo,38,15,10,13,54,54,55,0,9,6.0,0.0
2010,Vasco,38,11,16,11,43,45,49,-2,11,2.0,0.0
2010,Vitoria,38,9,15,14,42,48,42,-6,17,,
2011,America-MG,38,8,13,17,51,69,37,-18,19,,
2011,Athletico-PR,38,10,11,17,38,55,41,-17,17,,
2011,Atletico-GO,38,12,12,14,50,45,48,5,13,19.0,1.0
2011,Atletico-MG,38,13,6,19,50,60,45,-10,15,2.0,0.0
2011,Avai,38,7,10,21,45,75,31,-30,20,,
2011,Bahia,38,11,13,14,43,49,46,-6,14,15.0,0.0
2011,Botafogo-RJ,38,16,8,14,52,49,56,3,9,7.0,0.0
2011,Ceara,38,10,9,19,47,64,39,-17,18,,
2011,Corinthians,38,21,8,9,53,36,71,17,1,6.0,0.0
2011,Coritiba,38,16,9,13,57,41,57,16,8,13.0,0.0
2011,Cruzeiro,38,11,10,17,48,51,43,-3,16,9.0,0.0
2011,Figueirense,38,15,13,10,46,45,58,1,7,20.0,1.0
2011,Flamengo,38,15,16,7,59,47,61,12,4,11.0,0.0
2011,Fluminense,38,20,3,15,60,51,63,9,3,1.0,0.0
2011,Gremio,38,13,9,16,49,57,48,-8,12,3.0,0.0
2011,Internacional,38,16,12,10,57,43,60,14,5,10.0,0.0
